fund_id,company,document_type,categories,text
LU2354272903,Visa,news,"Greenhouse gas emissions, Non-renewable energy consumption and production, Carbon footprint",visa bringing bitcoin pollution everywhere want visa everywhere credit debit card offering accepted million merchant around globe used million people make daily purchase world largest payment processor also exploring new way customer business use bitcoin visa everywhere credit debit card offering accepted million merchant around globe used million people make daily purchase world largest payment processor also exploring new way customer business use bitcoin support bitcoin contradicts company stated commitment sustainability reducing climate warming emission bitcoin electricity hog often powered dirty energy bitcoin operation could become even worse due adoption driven visa new service visa extensive expertise cryptocurrencies company putting resource work cleaning bitcoins pollution climate impact despite making strong corporate climate action pledge helping grow bitcoins pollution currently bitcoin primarily speculative investment people bet whether price go support visa large financial service company could change visa making easier people buy trade spend bitcoin vital cryptocurrencies growth actual use transaction visa collaborating crypto exchange let people buy morning cup coffee weekly grocery using bitcoin example people u store bitcoin coinbase wallet spend merchant visa vast network thanks card issued partnership coinbase widespread use greater demand mean higher bitcoin price historically contributed bitcoins enormous energy consumption greenhouse gas ghg emission here price bitcoin high incentive miner employ computing power electricity digital guessing game win new bitcoin fee much bitcoins electricity use generated fossil fuel globally according estimate cambridge university researcher dirty coal largest single source bitcoin miner using energy also put demand oftenstrained electrical grid us energy could directed towards socially necessary us including rapid expansion electrification needed address climate crisis putting dirty bitcoin wallet visa one several large financial service company leading mainstream adoption bitcoin cryptocurrencies visa multiple cryptolinked credit debit card enable customer spend earn reward bitcoin one card offered partnership coinbase largest crypto exchange united state coinbase card automatically convert bitcoin cryptocurrencies u dollar point sale retailer visa network customer also earn reward point bitcoin visa also partnered cryptocom another large crypto exchange company support prepaid card customer load bitcoin join bitcoin reward debit card like one offered fold collaboration visa reportedly rewarded million bitcoin since launching concerningly visa also expanding crypto offering around world despite mounting evidence bitcoins climate impact company recently launched debit card collaboration eu crypto exchange lama allows customer spend bitcoin visa created longterm strategic partnership wirex crypto platform exchange company expand united kingdom asiapacific offering crypto debit prepaid card partnership crypto company product enable using bitcoin created growing business visa first quarter visa reported customer made billion worth purchase visa crypto card company said network crypto wallet partner grew early including coinbase circle blockfi almost million merchant accept crypto including bitcoin visa network february visa leader denied reuters report claiming company pausing new crypto partnership service reaffirmed company still moving forward crypto sector visa also help company adopt cryptocurrencies bitcoin largest market cap cryptocurrency certainly includes bitcoin visa digital currency innovation hub assist client understanding cryptocurrencies creating new business opportunity product visa crypto consulting advisory service help client like financial institution retailer navigate complex changing cryptocurrency landscape hub also publishes public educational material crypto blockchain technology bitcoin reveals visa climate hypocrisy visa committed reaching net zero line goal set paris climate agreement accomplish visa set science based emission reduction target meet c pathway many see necessary avoiding worst climate catastrophe visa also say company embeds sustainability partnership initiative principle company appear applying bitcoinrelated partnership visa also offer product increase public awareness climate change co calculator customer track emission purchase yet visa done anything account emission bitcoin transaction even though researcher find bitcoin transaction much larger carbon footprint transaction using u dollar traditional governmentissued currency visa need work cleaning bitcoin stop growing bitcoinrelated service publicly acknowledging bitcoins climate problem first step opportunity visa lead financial service sector climate change sustainability technological innovation need company like visa send powerful message bitcoin adopter technology need innovate align climate goal cryptocurrencies operate using cleaner technology support creativity company like visa futureproof bitcoin warming world
LU2354272903,Microsoft,news,"Greenhouse gas emissions, Renewable energy",microsoft microsofts dirty supply chain holding back climate ambition verge reviewed dozen emission report microsofts supplier found power entire operation fossil fuel early microsofts ceo satya nadella hopped relatively small stage announce big news world tech giant determined reach carbon negativity removing even carbon emits decade cutting emission direct operation also across whole supply chain yet last part set gargantuan challenge following year one microsofts electronics supplier taiwanbased company called chicony electronics opened new factory thailand expanded plant china upgraded facility production grew sort snowball effect buy thing hire service footprint expanded fact new service chicony reported percent increase emission end year total co emission gone roof hitting almost percent increase previous year chicony one several case microsofts supplier necessarily aligned tech giant climate target two year setting carbon negativity goal microsoft struggled limit supplier use fossil fuel become word company sustainability report ultimate decarbonization challenge verge reviewed emission inventory selected random microsofts list top supplier using voluntarily submitted data nonprofit disclosure system cdp microsofts supplier making progress cleaning carbon footprint actually increased emission since company announced big climate ambition new good service chicony electronics increased emission percent report cdp state due expansion thailand china sebastin rodrguez supplier even single contract power factory electricity renewable source mean electricity consumption main source emission coming fossil fuel verge analyzed small sample compared microsofts thousand supplier data gathered show many havent necessarily complied tech giant netnegative target case analyzed microsofts top supplier reported rise emission ended reflecting tech giant emission report microsofts supply chain emission grew percent reach metric ton co amount similar country panama entire footprint emission continued grow slower rate still controlling supply chain emission exclusively microsofts challenge big tech company highly reliant fossil fuel across product life cycle supply chain according report greenpeace top ranked consumer electronics brand apple made significant progress cleaning supply chain report said company achieved supporting supplier reaching percent renewable energy adding close gw new power across supply chain microsoft even made progress reducing emission direct activity company one three big tech company analyzed greenpeace alongside apple google managed go percent renewable direct operation however emission tiny less percent total footprint compared supply chain footprint like tech giant microsoft struggled said reena skribbe climate policy analyst thinktank newclimate institute remains unclear microsoft plan reduce supply chain emission said sector like transportation fossil fuel industry direct impact global emission big tech footprint important sheer size said glen dowell senior director mba program cornell university corporate responsibility researcher increasingly daily life interfacing company theyre trying get share time every second use accounted energy dowel said interview verge absolutely possible reduce tech supply chain emission line degree celsius pathway wont happen unless tech giant like microsoft target percent renewable energy across supply chain said greanpeaces east asia global tech project lead xueying wu referring global temperature rise limit imposed paris agreement verge contacted microsoft comment company declined respond dirty chain microsofts value chain messy complicated divided five general stage sourcing raw material basically mining processing mineral turning component part assembling component last stage microsofts finished product laptop tablet gaming console directly buy emission calculation also take account energy consume using product disposal microsoft factory different country whole process involves ten thousand supplier million customer using product according company report result despite company effort emission go supplier dont cooperate often dont fourteen microsofts top supplier reviewed verge reported increase emission several cited covid pandemic major disruptor hynix south korean semiconductor manufacturer stated increased use computer laptop smart device caused covid increased demand dram nand chip resulting increased greenhouse gas emission company reported gross sale billion percent rise previous year time emission increased percent reply verge hynix said increased renewable energy portfolio particularly china managed lower direct emission operation figure still thirdparty verification account full life cycle product large supplier also said pandemic led rise emission intel world secondlargest chipmaker reported percent emission increase previous year mainly due getting sale reply verge company said emission direct operation decreased percent following year part due using larger amount renewables power plant qualcomm world thirdlargest chipmaker reported percent increase saying created new facility increased emission least two occasion supplier one single renewable energy purchase mean electricity fuel consumption came fossil fuel taiwanese battery manufacturer dynapack reported zero renewable consumption even though company aiming achieve percent end decade also case taiwanese manufacturing supplier avc consumed energy fossil fuel dynapack want hit percent renewable energy currently percent renewable energy consumption according cdp report supplier claim use renewable energy operation werent really using much south korea hynix taiwan chicony reported percent energy came renewables hynix claim increased renewable energy portfolio percent data yet publicly available due published july many case however accessing renewables easy many country enough clean energy supply large operation avc example stated report factory southern china access renewable electricity yet microsoft made effort offset issue adding renewables several country national grid ireland company added mw onshore wind solar equivalent percent country target renewable electricity produced private corporation still company request supplier contrast nine microsofts supplier reviewed verge reported progress lowering emission case achieved buying electricity different place avx japaneseus microprocessor manufacturer noted last year adopted new solar power source increased purchase green power u europe taiwanese manufacturer avc consumed mwh energy home u year fossil fuel according cdp report case reviewed supplier reported biggest source emission came electricity consumption use fuel facility two common source oil gas verge contacted supplier mentioned story received response intel hynix getting strict microsofts strategy toward net zero ambitious beyond reaching net zero company want suck carbon atmosphere emits every year expert consulted verge say would require stricter effort part address direct emission company purchased gw lowcarbon energy also made significant gamble carbon removal microsoft already remove million metric ton co emission carbon offset longterm ambition five time greater aiming remove million metric ton carbon co absorbed costa ricas forest every year short term microsofts carbon removal come forestry project according offset report type project gained criticism recently adding new emission reduction time catching fire microsoft say report generates concern long project last without degraded long term tech giant bet even complex riskier microsoft signed year deal swiss company climeorks build machine suck carbon air store basalt rock method company claim already achieving result technology however unproven scale un recently discouraged use offset emission direct emission straightforward solution microsofts approach toward supply chain emission less clear expert consulted verge said tech sector particularly global supply chain cornell dowell explained make difficult even trace part microsoft cant directly control supplier operate company enforce tighter regulation said wu greenpeace skribbe newclimate institute agreed july microsoft updated supplier code conduct require supplier cut carbon emission percent step right direction detail still uncertain srkibbe said one example remains unclear whether supplier rely carbon offset achieve target instead directly replacing fossil fuel renewables said microsoft require supplier achieve percent renewable energy support transition wu said big tech company similarly complex chain found effective way help supplier decarbonize wu said apple example created incentive supplier percent renewable energy target mobilized use clean energy product still company code conduct explicitly require reach percent renewable energy microsoft built new renewable energy several country national grid similar program incentive supplier major global player microsoft unique position allows significantly increase pressure supplier reduce emission responsibility microsoft show serious reducing emission skribbe said company much market power cannot influence climate ambition supplier dont know could added
LU2354272903,Nvidia,news,Corruption and bribery,nvidia sued author ai use copyrighted work march reuters nvidia nvdao open new tab whose chip power artificial intelligence sued three author said used copyrighted book without permission train nemo open new tab ai platform brian keene abdi nazemian stewart onan said work part dataset book helped train nemo simulate ordinary written language taken october due reported copyright infringement proposed class action filed friday night san francisco federal court author said takedown reflects nvidias admitted trained nemo dataset thereby infringed copyright seeking unspecified damage people united state whose copyrighted work helped train nemos socalled large language model last three year among work covered lawsuit keenes novel ghost walk nazemians novel like love story onans novella last night lobster lawsuit drag nvidia growing body litigation writer well new york time generative ai creates new content based input text image sound nvidia tout nemo fast affordable way adopt generative ai company sued technology included openai created ai platform chatgpt partner microsoft msfto open new tab ai rise made nvidia favorite investor santa clara californiabased chipmakers stock price risen almost since end giving nvidia market value nearly trillion case nazemian et al v nvidia corp u district court northern district california
LU2354272903,AstraZeneca PLC,news,"Pollution,Waste,Human Rights",sierra club join lawsuit state richmond toxic waste site part long struggle prevent housing developed top toxic waste site earlier august sierra club community environmental justice group filed suit two state agency proposed development project south richmond plan residential unit mixeduse development constructed top heavily contaminated site astrazenecas former chemical manufacturing plant toxic contamination come stauffer chemical company occupation site stauffer primarily manufactured sulfuric acid site roasting pyrite ore decade company dumped iron pyrite cinder marsh nearby additional toxic release resulted stauffers later manufacturing fertilizer herbicide pesticide richmond community sought highest cleanup level nearly twenty year due many proposal development early plan cleanup drafted astrazeneca approved water board lead agency time partial cleanup plan called ground floor parking installation large fan disperse volatile organic compound vocs would seep underlying soil included restriction like preventing child playing soil allowing kind edible gardening prohibition land use hospital school community facility public outcry inadequate cleanup plan led lead agency transferred state department toxic substance control dtsc subagency california environmental protection agency calepa community advisory group local volunteer established discus department cleanup effort following serpentine path shell company remediation plan ever since recent cleanup plan approved dtsc ignores recent state california guidance sea level rise calepas protocol risk vocs plan call removal two percent yard contaminated soil installation concrete cap insitu chemical remediation site open side bottom say faris jessa richmond shoreline alliance concrete cap wont prevent toxics moving inland sea level rise dont want carcinogenic toxic soup coming home beginning july dtsc approved prospective purchaser agreement site new owner hrp campus bay property llc without adequate environmental review response sierra club many community partner jointly filed lawsuit dtsc calepa contending failed consider current information sea level rise health risk posed toxic chemical remaining site therefore violated california environmental quality act ceqa dtsc done richmond travesty say nearby resident lana bold mother toxic housing math one copetitioners confidence partial cleanup approved adequately protect family neighbor future resident past two decade selected cleanup plan remained largely unchanged focusing concrete cap mean protection despite fact information continues come light many way toxin site could bleed community meanwhile land use restriction community facility remain begs question people would allowed live somewhere thats considered unsafe many function building housing contaminated site would environmental injustice say director virginia reinhart richmond need affordable housing dont want put community already overburdened pollution harm way responsible agency hasnt analyzed risk factor developer committed building residence site project must include rigorous cleanup available rather dtsc approved
LU2354272903,Linde PLC,news,"Corruption and bribery,Tax compliance",linde gmbh settle u allegation import fraud million logistics manager informed government company underpayment duty linde gmbh german multinational corporation make industrial gas transportation application u subsidiary linde engineering north america agreed pay u government million settle claim company made false statement custom declaration avoid import duty justice department announced friday settlement one largest whistleblower case alleging avoidance custom duty according philip cohen llp law firm represented employee tipped government investigator government alleged linde undervalued million worth product imported construction natural gas chemical manufacturing plant according government complaint linde avoided custom duty including antidumping countervailing duty adcvd misrepresenting nature classification valuation merchandise well applicability free trade agreement violation false claim act settlement reflects commitment hold accountable evade duty owed imported good including antidumping countervailing duty level playing field u manufacturer said acting assistant attorney general jeffrey bossert clark department justice zealously pursue seek unfair advantage u market bringing underpriced good country linde serf variety end market including chemical refining food beverage electronics health care manufacturing primary metal specialty gas produce include hydrogen truck vehicle installed hydrogen refueling station worldwide car bus truck train crystal johnson worked linde oklahoma year recently purchasing logistics manager filed whisteblower suit receive million settlement complaint alleged linde avoided paying tariff full amount duty antidumping countervailing duty among false claim alleged linde failed report raw material component known assist provided manufacturer make imported good assist add value good required disclosed custom form submitting invoice entry form custom border patrol cbp falsely identified imported good using incorrect hts harmonized tariff schedule code used assess duty johnson claimed example linde described stainless steel pipe china carbon steel pipe lower tariff adcvd duty change classification saved company million dollar system depends importer providing truthful information custom form said dave jochnowitz associate phillips cohen amount company save falsifying information one form small time sum enormous million settlement includes million linde paid previously two separate payment selfdisclosed underpaid custom duty
LU2354272903,Thermo Fisher Scientific Inc,news,"Human Rights,Discrimination,Management structure",thermo fisher settle henrietta lack lawsuit hela cell line laboratory equipment maker thermo fisher scientific tmon open new tab settled lawsuit brought estate henrietta lack whose cell fueled biomedical research decade lawyer estate said tuesday story lack young africanamerican woman died baltimore made famous rebecca skloots bestselling book immortal life henrietta lack became feature film lack estate sued thermo fisher baltimore federal court asserting family seen dime money thermo fisher made cultivating hela line cell originated tissue taken without lack consent medical procedure term agreement confidential thermo fisher estate attorney ben crump chris seeger said statement pleased settlement tissue sample became hela cell line cut lack cervix john hopkins hospital baltimore without knowledge surgery treat cervical cancer lack died disease age hela line first survive reproduce indefinitely lab condition since used range medical research worldwide including test polio vaccine research effect radiation human cell develop treatment sicklecell anemia lawsuit accused waltham massachusettsbased thermo fisher unjust enrichment arguing illegally commercialized lack genetic material black suffering fueled innumerable medical progress profit without compensation recognition lawsuit said estate asked court disgorge thermo fisher profit commercializing hela cell block company using without permission thermo fisher told court lawsuit brought late estate failed outline valid unjust enrichment claim
LU2354272903,Unitedhealth Group Inc,news,Human Rights,unitedhealthcare used ai deny patient health insurance coverage lawsuit say health insurance giant unitedhealthcare inc used flawed artificial intelligence ai program deny care senior patient using company medicare advantage insurance according new class action lawsuit ai error rate unitedhealthcare continued using systematically deny health insurance claim company knew tiny minority policy holder would appeal denial said lawsuit published online news service reuters instead insured pay pocket discontinue postacute care prescribed actual human physician complaint said lawsuit filed week u district court district minnesota law firm behalf estate two patient deceased attorney seeking class action certification case could involve patient across state four year worth insurance claim least million cost attorney claimed unitedhealthcare inc parent company unitedhealth group inc subsidiary navihealth inc monetary incentive deny medical care patient needed fraudulent scheme affords defendant clear financial windfall form policy premium without pay promised care elderly prematurely kicked care facility nationwide forced deplete family saving continue receiving necessary medical care ai model disagrees real live doctor determination said lawsuit unitedhealthcares corporate communication spokesman immediately respond nov request comment unitedhealth group denied claim lawsuit defend vigorously said statement company spokesman faulty prediction unitedhealthcares mission help people live healthier life make health system work better everyone reality unitedhealthcare prematurely bad faith quit paying postacute care older patient serious disease injury complaint said unitedhealthcare ai program known nh predict created navihealth acquired unitedhealth group nh predict ai model database million patient compiled year program us analyze patient diagnosis age living situation physical function predict much postacute care patient require pinpoint moment unitedhealthcare cut payment care according lawsuit patient appealed time either internal appeal federal administrative law judge ruling demonstrates blatant inaccuracy nh predict ai model lack human review involved coverage denial process lawsuit said unitedhealth responds spokesman optum health division unitedhealth group said company made health coverage decision based criterion u center medicare medicaid service cm health insurance plan navihealth predict tool used make coverage determination said statement emailed medical economics tool used guide help u inform provider family caregiver sort assistance care patient may need facility returning home coverage decision based cm coverage criterion term member plan lawsuit merit defend vigorously patient need court complaint named estate plaintiff described situation two wisconsin men medicare advantage plan unitedhealthcare may gene b lokken fell home fracturing leg ankle treated admitted hospice service began recovering june orthopedic doctor placed removable ankle boot ordered intensive physical therapy july unitedhealthcare terminated lokkens coverage claiming additional day skilled nursing facility necessary could safe discharge lokken physician dumbfounded news lokken family appealed insurance ruling lost multiple appeal lokken family paid month pocket almost year death july october dale henry tetzloff suffered stroke hospitalized prescribed least day postacute care day skilled nursing facility unitedhealthcare denied additional coverage tetzloffs wife appealed day unitedhealthcare denied coverage claiming tetzloff ready discharge month tetzloffs health care cost exceeded died oct assisted living facility across nation patient may involved state arizona california colorado delaware hawaii iowa kentucky massachusetts nebraska north carolina north dakota ohio oklahoma rhode island south carolina south dakota vermont washington west virginia wyoming case filed minnesota unitedhealth group corporate headquarters state unitedhealthcare provides health insurance plan million people lawsuit said
LU2354272903,Colgate-Palmolive Co,news,Waste ,colgatepalmolive face lawsuit misleading recyclable toothpaste tube claim judge denied cpg company request throw lawsuit consumer filed year half colgate introduced monomaterial hdpe tube thats hotly debated judge tuesday denied colgatepalmolives request dismiss lawsuit brought consumer say company recyclability claim certain type toothpaste packaging false deceptive misleading andor unlawful colgate introduced breakthrough recyclable tube february explaining monomaterial hdpe tube recycled alongside hdpe container milk detergent jug conventional toothpaste tube typically made multiple different material layer making difficult recycle monomaterial product consumer initiated case colgate last august aiming class action suit issue statement colgate tom maine toothpaste show recyclable tube first kind recyclable tube andor chasing arrow universal recycling symbol decision tuesday allows lawsuit proceed judge joseph spero united state district court northern district california rejected multiple colgates opposition point deeming certain argument unpersuasive concluded reasonable consumer might misled recyclability messaging colgate pointed disclaimer render statement product concerning recyclability nonmisleading matter law spero pointed deceptive advertising claim rarely dismissed neither plaintiff lawyer colgatepalmolive responded request comment tube trial tribulation product launched colgate embarked educational campaign build awareness recyclable tube among consumer also operator material recovery facility mrfs sort plastic reprocessors make resin recycled plastic recycling stakeholder brand described plan recyclable tube pilot program partnership company mrf reprocessor identify best practice could shared nationwide colgate acknowledged time tube recycling success would require critical mass tube shelf meet recycling standard major toothpaste brand also committed switching recyclable hdpe tube however said transition phase acceptance tube certain recycling facility may limited consumer check local community facility lawsuit plaintiff reported purchasing toothpaste thinking could recycle tube curbside said wouldnt purchased would paid less known municipal recycling program california didnt accept product lawsuit state miniscule number consumer california across country recycle hdpe tube facility accept lawsuit claim colgatepalmolive know recycling facility accept packaging end landfill incinerator lawsuit accuses colgate violating u federal trade commission green guide agency guidance marketing claim company make packaging saying document reject definition recyclable based theoretical recyclability green guide say least consumer area product sold must access recycle considered recyclable great debate hdpe toothpaste tube faced debate two year since launched mrfs actually accept joy rifkin sustainability manager illinoisbased recycler lr tackled question session november packaging recycling summit speaker broke common household packaging isnt recyclable rifkin admitted check operation director lr chicago mrf initial testing showed tube technically make lrss mrf optical sorter differentiate monomaterial hdpe tube multimaterial tube widely advertising push recyclers touchy territory communicating broadly absolutely rifkin said tricky gray area dont want communicate something like yeah put toothpaste suddenly getting toothpaste container like unique brand colgate hdpe rifkin emphasized hdpe widely recyclable material various company facility nationwide mainly tub jug colgatepalmolives concept market leader recyclable tube seemed positive theory isnt necessarily currently practical moment time applaud colgate want see happens rifkin said would go classroom community group say suddenly yep want long specific brand made detail added lawsuit colgatepalmolive cite bloomberg law article month hdpe tube launch wm representative said tube company list accepted recyclables facility republic service representative noted concern toothpaste remnant potentially causing contamination recycling stream colgate sought dismiss lawsuit multiple ground instance said tube labeling accurately portrayed product hdpe content hdpes widespread recyclability packaging included messaging directed consumer information online met green guide standard widespread recyclability hdpe worked educate public stakeholder including messaging limited acceptance transition phase suit plaintiff seek damage injunction stop sale product unless packaging marketing altered remove recyclability claim qualify availability recycling program colgate also sought dismiss injunctive relief added check locally disclaimer toothpaste outer carton judge sided plaintiff point well hearing case scheduled friday
LU0128520375,Eversource Energy,news,"Pollution,Water,Biodiversity/Nature Capital",solar energy developer owner settle claim illegal stormwater discharge wetland southampton company must pay civil penalty mitigate impact placing land conservation boston new jerseybased solar energy development company c energy llc eversource energy agreed pay settle allegation violated state wetland clean water law discharging sedimentladen stormwater moose brook valuable coldwater fishery tributary associated wetland construction solar array southampton attorney general maura healey announced today solar energy important part state thriving clean energy economy developer must construct project way complies state law harm natural resource ag healey said collaboration state partner take action violate law pollute water consent judgment entered april suffolk superior court settle allegation ag office c energy eversource violated wetland protection act clean water act corresponding regulation company failed adequately implement erosion stormwater control acre solar array c energy constructing eversource owned complaint ag office alleges failure continued month despite repeated warning project stormwater environmental compliance monitor corrective action needed illegal stormwater discharge occurring today settlement includes significant component local resource area protection said michael gorski director massachusetts department environmental protection massdep regional office springfield violation resulted alteration protected resource area including moose brook coldwater fishery resource southampton settlement directs toward preservation acre land near site violation critical habitat addition significant monetary penalty restoration requirement complaint ag office alleges construction solar array c energy eversource caused allowed sedimentladen stormwater flow significant volume array site tributary feed moose brook end according complaint illegal sediment discharge clogged one stream dumped sediment bordering wetland area turned moose brook water cloudy downstream solar array c energy also allegedly failed comply enforcement order issued southampton conservation commission directing install maintain adequate erosion sedimentation control term consent judgment c energy eversource together pay civil penalty suspended pending compliance term consent judgment c energy also spend preserve conservation purpose acre easthampton property located along manhan river near confluence moose brook important habitat area two rare specie wood turtle creeper freshwater mussel property located close proximity existing conservation land contribute development protected manhan river corridor stormwater pollution regulated commonwealth wetland clean water law recognized largest threat water quality state case handled assistant attorney general tracy triplett attorney general healeys environmental protection division assistance senior regional counsel heather parent technical staff member david cameron david foulis massdeps western regional office springfield
LU0128520375,Smurfit Kappa Group PLC,news,"Corruption and bribery,Management structure",smurfit kappa fined italian cartel investigation authority found paper packaging group engaged anticompetitive practice cardboard box maker smurfit kappa group skg said tuesday italian unit fined million authority country found paper packaging group engaged anticompetitive practice skg said disappointed finding italian market competitiveness protection authority agcm many level vigorously appeal decision administrative substantive ground italian authority raided office smurfit kappa italia april part investigation alleged pricefixing across paper packaging industry agcm claimed time evidence number vertically integrated corrugated cardboard manufacturer including smurfit kappa d smith progest laveggia international paper others coordinated sale policy product series least eight meeting antitrust authority alleged company investigation used informal price list going back least apply sale price product offered independent box maker simultaneous movement company price often occurred without direct connection rising raw material cost according agcm document april investigation timeframe billion annual italian corrugated containerboard market continental europe secondbiggest germany smurfit kappa consolidated italian sale amounted almost million largest player market according data contained document skg committed highest standard conduct business tolerate action inconsistent value said company led chief executive tony surfit tuesday adding book fine exceptional charge year result pending outcome appeal spokeswoman agcm told irish time press statement matter ready published italian authority extended timeframe investigation number time past two year size smurfit kappa fine equates per cent million net profit paper packaging group expected analyst report whole share group fell per cent smurfit kappa reported last week earnings interest tax depreciation amortisation ebitda rose million first half year million period outpacing per cent sale growth billion europe ebitda increased per cent million helped per cent organic increase volume box sold higher pricing acquisition first half group completed acquisition serbia bulgaria step southeastern european strategy ebitda america gained per cent million per cent region earnings delivered colombia mexico united state strong yearonyear performance three country smurfit kappa said february planned spend billion expanding operation buying rival space four year largest deal purchase dutch company reparenco million
